business_id,max_day,max_hour
2ZnCITVa0abGce4gZ6RhIw,0,13
MfCS8VeJzf9QbxNImekuMA,2,11
LmVcYycG_VI3S6RNgqiriw,4,17
JM6X0PJBcMkAjOuZqMaZsQ,6,18
_mADamYQGcQhKru2hcQUxw,0,8
Rvd5fGybj83Brgm-S-QT1Q,3,17
-dz2h55a0SdnBJEXQm9CAQ,0,8
N4Gw8aJNEywdDD9zcEcNiA,5,16
R5Lz6OiNzaKdDt41MfMOog,0,18
uPDTnuR-sOi47blHH943lg,5,18
CVBYF1AMlrZbScRXX8d6XQ,4,18
RcHlO31-LK8w7uFqr3vHHg,0,10
FYXut4Km0FzvFY3G0sYwgg,4,11
dvQxsFICv2HFMmQX8yI55w,2,16
o25PsJyVUFV83i4GqxtqfQ,6,7
nY2QBNMEfT3j68j-DHOGyg,6,9
9W5zaqA_fdjTk127fioY0A,6,11
N13sN1m2zZNJDgRBlP8RYA,4,12
amQir2cEG2MV625L0dE8aQ,1,11
98MPR4i4P_uU6o7-cw4qsg,5,10
RqhDOGx1_9tejkoYAOEHyQ,4,7
rVUEZpHQfWI_3kt0lBwaxQ,4,19
UHYxPlfmPLbEftz3Ntnfcg,5,19
Y9wyhP64t5IWJxoLrUV5Dg,3,12
8_mbjbTK_Ci3DljpzdipuA,6,18
RvrwLdirQ5w27dk3qkX2JA,5,20
bGYQiDTdpTc_ok7cYsZzoA,5,9
m3EKlucZuwnOazLrRfnWaQ,2,11
Fo5O94HccxE4PvMQf-G_vQ,5,18
adEJYiysRmK8eDqnHP9N6A,1,18
COc06ScpJTN15NXMf4gkqA,4,14
mr231dn6IAAkE6VYmQxBrw,2,18
0kcStBtW94p-ooaaA2PbIQ,5,10
AlspsoZqH1LGCIBgnCAEuQ,4,10
wAQIsvL19Zn8patYsqF4ew,0,17
8SBXsNM4KCyN90r_bNFw2g,5,20
5EyT-ZbhJR6LwtVaPyE3bg,1,16
oiFKrBaK5R53T8JmK1jQww,2,7
g21KZ4AF0WBStFNphYk8AQ,5,11
vaqmESluryt5i4Wbkb6KRA,5,14
-eim7j3MfRWxhatv-udhYw,5,11
Aicnm12Zped8nQFXyRRFvw,4,12
PXmR1MgOAWB066XH20HjxQ,0,18
Y5clwKIHw8qTpy3pCH1BHQ,0,12
dZb1V8knqTUT1o-NKZAl1Q,1,11
Y-wJR0jRjp4ppSkg0xg8eQ,0,19
9CstkLhqS4fXT0VUgu60dA,0,17
lc6jdu6Mvix9lVrxYsMd3A,0,10
sdnl07WmIzVxqNQv6DdyHw,5,7
r6zT-YqmOtHg8BJT3LLzfg,4,19
V4wiGd78Si52Gys9gmoZCg,5,8
GMDSE-m3yP0uCPfgkd8QSg,2,8
eWvfBkL6NPtIjfqhCo7EdA,0,14
egCtkzJEMwu7-vpFcM7VmQ,6,20
4iJUNAUVYNEuh16yK6Virg,4,17
Tr0APB-yiqu94QHO3eB66A,5,17
jJJc5RN6fajxWlr0IMigTQ,0,7
3DMvGD8ZmlMQmhwV66hdSA,6,17
0qiGyzxHr5wDDJLXbSRYAA,5,10
yQEE9ZuJe0lQNoQdG68l7A,2,19
PlcCjELzSI3SqX7mPF5cCw,4,20
R1ySBCVS2eQf-s0Z4ifIug,6,10
4NMElef11_YmVzxOpcsALg,2,12
OzA-AfOuhF379AUwNscc0w,3,13
fVgrpVyp-nPLTac9YIjTug,6,18
4sW8Z6NLXLRkruSKSKUEUw,5,13
NN8TD3uh2aOmWPAJJcCJ6w,4,15
evdDnCfBUhF-E7undvPNQQ,5,13
zfQtAr3sI-oTbqOqeQZfAg,6,11
8t1wJJ1iGsIFbNzPlwCMVA,4,17
136zvrfN6Kpr9tFj3OMNUQ,1,18
L315h4uCgJwAKHuy3nvaWg,4,17
Z85BGr-jnEWvoI4xAnoh3g,6,10
Q87G5ezBUhqjQ1xHfZ3fSA,5,14
z9RjkAPe-00LGoBJjQadOw,5,10
E3RjJH45EX6rHYDs0TYSRA,4,17
SK04ABcwoEtvIZ3VOZccPw,5,16
GkCAW9zoECIg7T_HIwCgNA,4,19
8H1DwdAAgSBtwDeb2R-hmA,6,6
EKzMHI1tip8rC1-ZAy64yg,4,18
wCqLDgQKqt_4BTm884MKmQ,5,16
NB6o73F05lw23zpC79qoUg,0,10
KoIRdcIfh3XWxiCeV1BDmA,4,17
a29C6sg39V2HP_tq3m8nEw,1,13
TbaAnzOTX2-boTbAp3e8Qw,1,12
O48Mv1VkQYZrDkR6LhnY4g,5,17
AsSCv0q_BWqIe3mX2JqsOQ,6,21
g5csdtYUt97hkexFMCVf-g,4,12
AO-s6ht21TfAIkPPPS1L4g,4,14
uwtzgXdroiFT3Lt89dlD-A,6,17
j-XjFrtBIp9ti06XytSNfg,1,13
XuuSrEDYr2sQwd9d6LqdQA,2,11
9SKdOoDHcFoxK5ZtsgHJoA,0,18
zsWJEyP8YyJkux0muGtiVw,3,18
h7RI7ahTT02Sn7BrONqPkg,5,12
ib-y5nsfn3unE0lLY1vfAw,6,12
6SWknDhTfrw3NyywMCyZJg,6,10
uU_GiwzWf314dy0WY28Mgg,6,12
x4L42igQPv4TFlqGR2Wthg,4,18
To5CjntVFawXM_hpAhvVdQ,1,18
tFZLfXWbjQy59_E_xqs8Fw,1,9
Je8QTq9npdNeQLEMEgw8Zg,5,20
t4pkeGscooStLjy-Js5Byw,2,12
JEreQgso7MH_Io3DXGsEOw,4,19
VyJSC_gG0oJedoGyoOHLMQ,5,14
gh-hT8e-XtCExRxe6PKR4w,1,14
urrL01OBJDVuKiZ_GvT-EA,3,11
ldyS8f473wv4o9-AHO0ZIQ,5,14
-KF9RQPkmIOHfE0tzUu9bg,5,7
94uwF6nBkIW_j51T1uJRHw,2,12
Dj3i6a_vboALYTRKTmBABQ,4,16
Zm_7zDjoCW7gZ1TR3qvuMQ,2,20
BQ0DSBD_xk441ESKonwjfw,1,11
CIpzeDYD252nq0nRA4px5A,2,18
-6Roo-EHgSdUa4rP3tWyRw,6,9
9Af-aZDD7RS6lJrLU5eI1g,0,15
8z21chQa8cb7ZEiUk7yRtQ,3,13
UAR9XXVVTQ5shxvU80C1dA,0,16
t_0576Esa58pcLHCEpj31A,6,18
0le8kj4gIHe9aZ1NfS2_Ag,0,17
CCNwvFbC6QjJ0RN7l3Zh9w,4,17
3Z88l4UO-FoNbYk_ZpTScA,2,14
bA-Cj6N9TEMlDlOh2aAnUw,4,8
vSEFzop2GDXsIWTLxIGMiw,2,11
V_JQFb-vD8rENixERfjueQ,4,10
gc-QI_gGpjYusuGzDub1lQ,5,9
t1XhXY-Vt4K1OPLkuOcsfg,0,7
1crzPdwnlm2zHdQ2nP4n7w,0,16
z59lJzU0BoA7dz_itojXAQ,1,17
tenKOmTRi2rjZAWwNCDv6w,1,7
ufKmcpK6OTaWzeBGWNOa8A,1,18
DE8UVNCCpOE0vTAbGaMoeQ,3,12
BUL_RnfnXoOhMYvLUYJn7w,5,12
P4e1yH_XjwMtlD7jtyTGVQ,4,14
GW-S-zwQZdbb1hWKlqu-WQ,5,17
wftoNIA0Q8nX-Da47psBCA,4,12
GH6IPda304wJRxSRg9Ko3g,3,14
EoVGIsaatkdbWLY9qyFcgA,5,10
yXO8roC1vUDInyzrQGwkhw,5,13
3Jtu-vKe3LDUc5haxT6aPQ,3,11
FKHv7FkblONv9qqBndJUrg,6,15
7Dzlie2ESR74yXWZ0NClLg,4,11
ZBoS5psMODvIrpMNn7SCtw,0,10
b5sP47L2NiBXqbsiOnR7cw,6,11
TLnAS5Qx9Q2KK3mZi0Lyeg,5,13
VBhgkRUNe9gjc1HpmHA3Zw,4,11
a5ovPlhQkcA27FFu664xKA,3,7
y3V2jqKmvWjyo9Mc-Ipn4g,5,12
WfYQE-MZCQb_BOyW7lWh9Q,5,20
L-uPZxooP_ziXCtRrWi8Pw,3,11
-DGbZCnfEiHUy-ksKeJ72Q,6,15
x5zpnLM73TCnsRcII7uzAQ,5,14
uNzmm8lpdwOggqQ3Vu7vMA,2,8
4Z4_92Lr5E58c9-3L3idhw,0,11
IAA95OWwU-MRnhFQD8t3JA,1,18
KtsxJfAcDoNjhmTZeZtFmw,5,13
Kw81yRTRez4_JfMdWty_Rg,4,18
L7UxfZyS_-jFOxRwG0SZWw,5,11
Lk4Uk3YU2PFbTsKokJ4yKQ,0,14
ns64otnQ-WzkjsVS2vVK6g,3,12
VH9X2UmfxnI8byz5Xr1ebA,5,10
0K634ehk41ZRc4kj3NTAEQ,5,12
BN5gV0OfIZQbQ7PXv4tG0w,4,12
nXFQjMFJ0qLQSrq1TwLrWQ,0,15
LSElCCmJQNJDpIEf77NVpA,4,17
CMI3SF1-YwAEfUXYkKS53Q,2,12
eFC_lobFeLQSVitKUQ3tIA,6,8
lRzoAhDhcyCeOGrWntXqsw,3,12
mgllPJA6NQXlJurFWAkqQg,5,22
WPmamMTGAmNYXGoXW1mWyQ,4,18
cKylbPFCMyvunMWU-RLptg,4,19
cfRrO0P-L7o6UWL81pmxCA,5,19
A-ZhvQa5A-XSqZB3HH6TVw,1,16
zht8__JJoxkozBhf_vuKYg,2,12
nf6NV9rsHoLb4zcI01337A,6,17
44Up9Gbs-IKMnt7ULDWu8A,0,14
-Rj4yXguyZ06ZMPMmoR9tg,4,11
145SQ_msdQ1yo7J0E63VoA,6,12
dQf8nwN8Dg1oT0J-LS76Wg,0,10
901kK7WaszY-wj0g2f4HiA,2,11
BZZXAwQkFMMC1dMfkzGLjA,0,15
UMP4EbpIcKD4urk0qXbncg,5,11
f9WU18QfVnUSuYbkQx5iIw,5,10
wZwZcte4lcbu51NOzCjWbQ,5,18
lwaLY3V7FyG_e9QUTP_N_g,1,14
9mQj65SmYj2pcehH339aEw,4,21
lTX7GlMWqnta4YNSPZu2Zw,5,16
b9svM7RoDUAVnzjFBmf3Ow,4,12
zSEknIqmkGL1pQt-ApEeoQ,6,11
cEkDx1wSMXgIPmRM90gSBg,6,11
_UrbZpgCq638dWrS0Vly2A,6,11
jkULHBAZBM3s5DQJkM-6RA,5,13
GcBgWPwxAlo2l4M7BrBMyA,3,11
dt6fDypVLgUqs_d-KGsHhw,5,12
7TTGDhtXBTeii0uPxOSgyA,4,9
9WYW_w-_CqvuCLClxFFaig,1,13
JqAI4UA2xXPYxvlhzG-i9A,5,23
IfVtLuSVr9hStyGoL1UXDA,2,7
pV2nc4WPWKtoyeBBOxF-6Q,0,11
SSSye5qWXqBYRxXgleYztQ,3,15
KW5vG4PH2LKLMGdp6pt3dg,5,11
bF7KQ6AQK5rBS7aOFKtlWg,0,13
mQde7KRomOQoUyPGTqeXhA,6,13
N1Dq9PyY1jDQdZcX4u8oFg,2,8
WM8sy8FjrU3PpxN_NI02ZA,5,17
Q0AADLgsYi1sFDk8jtMYUw,5,9
ZXsbS0FE2LzlUpkDdzNiUQ,1,13
NN9dbEZF_c4YNgfWWAEVig,5,12
qOE7oX1lIVUJUYvSwFy5Wg,4,18
qHjUo2foq-IXF6Tk1Iz3WQ,5,18
HXzOQy2IN02VIOIgY22Fkw,6,14
fLtUF61A5WrKIRIaWlf9wg,2,15
fOfODlhwjrELKlQYUo7ypQ,3,10
oajNY_oTIMb7YZsor7Xonw,5,12
ut-kla-EA23nJOij_dcL0Q,3,18
44qg4vgcqJkjF8eqG4R4JA,6,12
3NqERLqdtQSe0w9540rZrQ,6,16
zTUI1y05mo5H5hBtDCRpJQ,4,16
v_aTapvcfKRL6O5au6Ru5Q,4,12
oBVS96DtPGk9GU8zPx5Hjg,5,12
L0R3081GwxRcP98BZ1K9qA,3,17
yqMnr5NIgzunJblPLP9_zg,5,0
qqKbbeyWVNPHHorqL7qlWw,6,15
ZiP8KBnNR-6VW8KzSDS4ag,5,15
U1sC16B31usuCwoWYlsP1A,4,11
mVha7w96h_eSun6EAomuhw,3,16
jIIcZ64vo9EomZrCYEBO3g,5,14
luhi-yXQH-7FwcyWCXctgg,1,10
A7A97vyr5t7e8zrkGCKndw,5,11
oOo0xGOVq7cYTP1fORdoFg,0,12
3GAPcBG8SowgrpS6UHlDeQ,4,18
wGaFCroINBx3o4L_siYEtw,5,12
Vb9FPCEL6Ly24PNxLBaAFw,1,19
gY_K2tFOXVitbtNhOxS1BQ,4,11
Xobu8FzHN0KUm5Lw3swypA,5,8
bHSpI3nPqAj2S-dmRyOOOQ,3,12
2OY8xs4aqOt8eTnYokdrww,5,18
ZrTuifpoIR4xffFykF0jMQ,1,16
PF00eW84GUdxCyP7a2QIPw,2,8
DC77ROlgfnpxQNFKQbbpnw,5,10
wTiQXYB9fE9rcSZDsZgbtQ,6,18
iKIyUViQL_lY0TEw3iUKQw,2,8
YRJKTPc7Tkz1cbjGHmOHuw,4,20
L1ymPhPjisiSD6RI1NtnQg,1,18
co8rv2zfOhMXc_TlEI9VrA,6,19
3398Ccw-mUHbzYcIToDi6g,5,16
0qUesn1TBPpPjW20h5Lqfg,4,18
gR8LbrIuA1akOQ2bvnHenQ,4,11
fG3yJmDXfSU8eW8HY1K3aQ,0,10
0RqNRc6RiILzZxK9J8Kqug,6,18
ugzBjxLS8wchZcASnHJO2g,5,17
gx0mu9P-OXQQinDyrruCpA,4,16
K4VHuqUFwc4eeC8LkMLyTA,5,10
q6mlASxOUhm5gapU_MPECA,2,19
s-jfTJnAIdyvIw2Fh2QcGg,0,11
KGX7O-_WqOIy9o7u9NOa9A,3,12
Zihy0e-OLDX5Vrr2XFNAfg,1,11
eFA9dqXT5EA_TrMgbo03QQ,4,17
S-Wd--9bLPtgfs8CtTmGuQ,1,8
HU1b1D0WUQE62M7ZiyqYoA,5,10
C37_IJ-vk51la3JrmsfR7Q,2,10
YDZvwCGI9kxLa2EJLBus_g,5,19
xkiuVkKXZp6I1ITe8xhIgg,2,8
IIM0aFvL_ogc7iD36Dfzpg,6,10
yOVydU0J5-hKODrKGhH4yg,3,18
eUKyPJQyHdech1fU3Q3MRg,2,13
814EMcyabpse8-Kmgitg7A,2,17
JLN8NSbKZ8ETWbkR54fEhg,1,13
twI1-9PZH1y8csXQ5VsrMw,1,11
42uEL1P_rxbaXl8nKU7zsA,0,9
e0wJd1deF4Wl-etBC7nBgQ,0,15
0M0K0dElhzTAqeaoLA0JgQ,5,11
38nEHav_0tMMCMZXTisfCg,4,12
ZaS6zYn_Pb3QrGRZJfNyzA,1,11
5JrcpZB5GubUJ1ED1KeVaA,3,13
12ti55UYaJ82eDTAI-adHA,6,13
KiqWfXmMCklapGRedS8rtQ,5,9
7IlOc6v_wHXLm5GFPGF0Fg,4,12
CscJ0RubTHofHvRJhERvXQ,1,17
4waggbCK-MSE9dbIdSMfPA,4,19
hW0Ne_HTHEAgGF1rAdmR-g,4,8
StiQ_lcCY8sX4JI-J6Mufg,5,14
y6uO4ydAwBHUujfiSktxZg,5,18
UPbkeVTJR6C-1I7sCuUrmw,2,18
Q0tWheeEldwr0OKHTHB79g,4,17
UxYFIv8MofuwiiViAtUhnw,5,10
m9jxyEihvVzCzw6k1hrOow,2,11
Vbcd56jQ5tsrlsvTUHBz8Q,2,10
fMcI0fOLmUwSvgVCmGA9Rg,5,17
iV7D7fHKb-bF9fCL_bEMtA,5,19
vnatQJnu2p50MB3pYDvS0g,4,12
0ONypOKIhttBz9IJzBE8jg,5,18
iZpgRNPogioU5sEaDyl5uw,6,19
yLo-xfoB8b4T_RjjIV4P0g,5,17
tfxveeZkRB1N5o23jLrSxg,1,13
cuMMU10KaD0cZ2WdK5XC1A,3,16
E3vrsYkHZ1kXKgxPSS8oEg,4,19
qP_IDUD0G_iTZitOypzrzA,6,12
LGZPRoNaKyts1mwHeU8s1Q,3,14
gy9AuGKWX2y9WJcUuxt7Rg,5,18
t0Gxm6go3sJIO5ySDCDCTQ,5,12
6OFYUDvf2k4RXDfOomfi1A,0,14
u9MKnG0PqI8N7ixSfrrTiw,4,18
2B9JbDVjDXeY-4uANGY6ng,1,11
-h-q6zTIdPlkz9BDP11sBg,4,18
nRzZac3LVgANpKPkDs4LSQ,2,11
6fR4ncWEfdMLk9AacDsRzQ,6,17
ORLTCEgKfdxMuGPhIc1O9Q,4,16
zBGfa6Vx4K59v8OR81gzJg,3,18
u36r5QRRwvFQGBblrMxDlA,5,22
SBd8pZJMMFiXhVBqGTwsWQ,0,12
K8pM6qQdYu5h6buRE1-_sw,5,11
DQY3RlqV7LlD3w4UJXiPeg,2,12
mxVYNQUEIjLVSV3BhS7fDQ,0,11
r5-EtEwmMwr0g0m1lPtfiw,6,15
cT_rocMh92B9t62Disp6gA,4,12
U6oNWTxVTnuuCL0BPRZCSg,6,19
L6PZFIpLARNTiDr5Owmc9Q,2,7
Oex3VZYYYHSQRHIlgoHnLA,2,11
dm5T6_GSQdvjJ0ArwBfdVQ,4,12
1J6fSg7Vd3gycjkqT7jW9Q,2,14
VgBs2cmQGxsevt5ZVW8vvg,0,16
WIDZSGjX4GGKIp1nZoHepg,0,13
91n02N35x38nvR1XH-jOAw,4,17
JeivzPg5TV_o5ZgLBw-hXw,5,19
e58rZRC4TSmKnMr7aAIJlw,6,8
2o8wGRVSn1UCrwSMqwgu-g,1,18
IfCZxeFnC0CND83jpdG-7g,2,17
-aBTFWuluGAJId7C4KNqeQ,4,14
sesJW8QAuJdCaH0FMyOGhQ,3,18
ff_QnODW0vqNWZPSTVQTsQ,1,12
-vaGR2CXNS4NZrMdctSkGA,5,12
XG04Bf0kVh24VnQRsstt3Q,5,16
6whDz3tSnf75sV_1Jl7Hiw,0,14
MNlttgXFfRcA5NnKqtxwrw,4,19
IQaND6HcN6NdtQ8QysO3Fg,5,12
NKKt_CxHCggMvuvrqJEjSA,2,5
LzSF8rvlsxqF-0qcHU7ikA,5,12
geJz5pFk61HNCdakk6DhJA,0,12
4hNjK7TpXjb86rfLDvL1lA,0,18
iNvY0zAlaD_ye7Z6rHu-Ug,5,12
AGar9KVq_W7YcF76avbDTw,5,17
_Pgyo58zwlnkHJZsgo0Rcg,5,17
2a-GOytQbxt8wim9VuHWsA,5,12
aF_sNt6WHO4iUmlgXICYdA,5,16
AryNioF9fxl8RYGiIE7fSA,3,12
UmFnmIoLCRe1ywY0bzpRrQ,5,16
bx5Yc7-_E8wz3Lahpq88mQ,5,18
G-_YjR1YrlkgIo2iavJoew,4,19
De5urGVv1kkiKVJ9bvlQ6w,6,18
EVRoFKVKbgP-rz9_6enViQ,5,10
yedGp-iaruaBykL7TswBtg,6,0
ixTr1qXUFGTzyaZUuCDDvg,0,13
R1kKjAO5kZO6d0gQGqrvGA,6,11
1LJZUxAzf6EIvphl1wnj4A,1,13
7p0OI2Ld46-EzJkRHGQEJQ,5,11
DOsibibrvkyYu-Srn0kPNg,0,13
W1XSrZgjyHuNYwqckvAQFg,0,0
3X081wewB-J5tIMO_aOPnA,6,18
4cZXiXms8yW4MjQ8hf4esg,0,15
0zj1T4Zc7l_dXZhO3U-nfw,1,11
OdD1GuGNQ64ssJmMJ_D9RQ,4,20
HtOr8cabgigirtDkN-oBcQ,2,11
dshbS14z45mJooTv4vYA5Q,2,17
r3DcOncukt-julF6u0xS1w,0,11
9cNDQIo6Ptp32AdK7IsJ7w,5,13
57gnA8qjuFDtUvKMLmtR8A,1,10
iXQQtpxSlzFyQoE9u3w-vw,0,11
AaKlegu7gmOCD4rEESF76Q,5,18
VE6crrvvLA4eMk5A1hulnw,6,12
A43gguDSjkWYyyH7210Unw,5,19
eOPxvbzFTBjO5LSV3uYMug,5,14
y8a480EiwWikqlR1inkGxg,4,18
wnB_JbBW8xzV3K0PWBO-DA,5,18
UtVMTQwKxQMJBQSlbuEqCw,3,19
Mx_IcFzTaPiPMm5SQY743w,2,1
cl5gr18l4R00NnQbVtgJ5Q,0,20
xymCilKjW4I64hMIt2TouA,5,19
tfVKzEDu8XYyP8KO1dsNvQ,4,12
_Z7YhbiFwGkE9JFI7s3u2Q,1,11
Sm-KSR7qtHmP-Z1yBPxedA,5,17
_A4x1TNYwm0XY1V882aUJw,5,14
zT6-dsC8HiDlQI6AjYuHRg,5,17
BblCFCBYOJxU-tbvMDXuTQ,4,18
2HUkoi6pLuKCkmu7v962Iw,6,17
5EJrFRz8Ha4D01Cf4LPO3g,6,13
HGSt8mHvzj041U24KuVYmg,5,16
Gy6hVorUNFCqNr-eYh5ZVA,1,10
HA7CQ3DVI59FEJMTiY2cVg,3,10
qVWR4NHU3NXlEIaCy67g2g,1,12
ZZlMGUiKZNiDyPLmra7RZQ,2,12
RqmE46axGgrS9lrbge0CKA,5,12
M42zwm3xFkG6qnZsnTtt2Q,0,14
XWvht_1ZLdK7EHJ3jo4q0g,4,18
dzSPa5kkpQIRjMOHvDUF_Q,5,13
A-8Q15fZHKGn3dLjazNwHw,1,17
UuBlHg1Mk0jonBSQPHfD0w,0,17
r_0k2yqAo1Z4tg_IgXr7Jg,5,20
AzNRSPu8LcsedsfZ694uCw,2,12
RpaXMSXRy299CqW4SVgV8A,5,18
EFJAVVBQQqftuqY5Wb3WtQ,2,19
adKyTJT-RtaTP0krxLyQwQ,5,18
89yv89wcF_-ehN7_pUnl6w,5,17
fdZbEDgD0_wy4mTx6pjzZg,0,23
X_F-3w3Z1omxWpItnWDH9g,0,12
KvBlmS1_tUbhA5zG1_B2ng,4,16
zDfs1Kyk8orFF8bRnSPx-A,5,18
Vn8qcaX64fkl8vByCsSvIg,6,19
2DOJ2GyphXQf_f3OKJEPzw,6,17
ruhhxpj8IrxwMh25eFaKLQ,5,19
2VU7F1oqCxpVPVlvpwvacw,3,11
YWu5xMCsAkC9saRWAZAk1Q,2,17
fa776KC8le1MHOOws_1PNA,5,19
N_xmefo_3IIGa7ovAwH78Q,6,10
XGl6nL5I21Lm8XmkfnNvsw,1,12
R9U8bZ84V-xPx3udCcU5jQ,2,15
kq7esIwZpYXLKPJhHMIZgg,0,10
IRxBQfA7FdHhzrPjtBxuuw,3,11
cKxXBvOithS-Ic5KnhEKrg,5,19
Rg2IrML03E10C2R5A9d9OQ,6,17
nHxi4UjqWOLRidFNnoccAw,6,11
KMNxlF1NV_ZvyFbl88aa8g,5,15
af4lHIpd7VNYpSLxDc_ugw,2,19
T09QUM1nYuuvogPeDFkkEA,2,11
puy0PzIcCgR3KWJI7llBFQ,5,18
Gwz2qprfIx2S9jytTk7VsQ,2,16
fjAQGf-iJlVjD2vizzuORQ,5,22
t803CrM2RLHWktYTw5y_mg,5,7
DjVWQ_Idtw6X5Eg0W5JFWg,1,11
uG5yrHPZkgP1dlSnmcM8lA,6,10
IDcXqa_9baqO286SdGHB7A,5,15
EmlgWjs1ZzZEpDjZCSPLmw,5,18
Ye-zElW9dP4gZwOx06gUfg,0,13
EqZl_lQdB3GVFHCoD7sOyg,4,11
KQzpjBmnAMXPqipeWTKG0w,5,14
fObVI_ax0-YgJfpaYyVmeA,3,15
x4N7KH4hLtHga269T3EOBw,3,17
pwsPmCKDMJQ9jTpdQFjFTA,2,13
O5VAXnTDezn4eghfTTEWDg,4,21
ubYzyCbtpuEiZxd0q7DivQ,6,17
MmNuDDHUHDgLj4BviOvlqg,6,12
Cvs4FOqtYH1R4Qhiq4PgpQ,5,9
YKDyaK3TKoZRCEgwnhczkA,4,16
